epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.00601,1.89175,4.87397,2.12378,0.02097,0.30769,0.02833,0.01119,1.64994,6.11033,2.49917,8.335e-05,8.335e-05,8.335e-05
2,7.52144,1.81339,4.88424,2.13941,0.0393,0.61538,0.0339,0.00749,1.68001,7.3422,2.52043,0.000179739,0.000179739,0.000179739
3,9.63378,1.62271,2.42272,1.91755,0.72394,0.38462,0.25947,0.16028,1.75736,4.37032,2.54404,0.000272168,0.000272168,0.000272168
4,11.4466,1.3931,1.89305,1.68827,0.49862,0.62108,0.57883,0.31315,1.68468,2.83805,2.59745,0.000360635,0.000360635,0.000360635
5,13.2469,1.40117,1.62904,1.71265,0.38418,0.57692,0.28078,0.1605,1.5112,2.967,2.57765,0.000445142,0.000445142,0.000445142
6,14.9825,1.44626,1.4702,1.73552,0.74906,0.5,0.2587,0.14624,1.85589,4.83629,3.85627,0.000525688,0.000525688,0.000525688
7,16.6826,1.44097,1.467,1.75135,0.95833,0.42308,0.58234,0.24145,2.26442,4.78296,2.67345,0.000602274,0.000602274,0.000602274
8,18.4175,1.44936,1.3291,1.76116,0.4426,0.53846,0.4732,0.1902,2.2061,4.38898,2.50839,0.000674898,0.000674898,0.000674898
9,20.1204,1.51567,1.17969,1.82106,0.59948,0.92308,0.87016,0.37525,1.79054,9.19899,2.53731,0.000743562,0.000743562,0.000743562
10,21.7769,1.48837,1.31845,1.74289,0.47804,0.88462,0.57761,0.27865,1.49089,6.57653,2.39707,0.000808265,0.000808265,0.000808265
11,23.4015,1.56612,2.44385,1.85313,0.95139,0.92308,0.96472,0.51239,1.58332,3.57513,2.59715,0.000869007,0.000869007,0.000869007
12,25.13,1.52783,1.2128,1.8014,1,0.57692,0.96198,0.50335,1.514,9.10069,2.45462,0.000925788,0.000925788,0.000925788
13,27.0263,1.53255,1.14986,1.72844,0.44294,0.97649,0.98149,0.50676,1.47818,5.74428,2.70009,0.000978609,0.000978609,0.000978609
14,28.7408,1.46462,1.0726,1.70236,0.56942,0.84615,0.56929,0.24087,1.81534,8.40163,2.4156,0.00102747,0.00102747,0.00102747
15,30.4303,1.44173,1.00154,1.67615,0.41551,0.57692,0.49601,0.22608,1.7305,8.43823,2.35434,0.00107237,0.00107237,0.00107237
16,32.1217,1.44861,1.13671,1.73797,0.98406,0.91524,0.98726,0.48384,1.81559,1.65405,3.2153,0.00111331,0.00111331,0.00111331
17,33.8528,1.50406,1.14356,1.7037,0.97674,0.83144,0.97469,0.51686,1.62428,1.71348,2.76955,0.00113889,0.00113889,0.00113889
18,35.6418,1.52313,1.07518,1.7683,0.98551,0.5,0.58179,0.33057,1.80441,2.01932,3.62795,0.00110589,0.00110589,0.00110589
19,37.2674,1.53791,1.00298,1.72386,0.98201,0.38462,0.54052,0.30012,1.896,2.07967,3.56892,0.00107288,0.00107288,0.00107288
20,39.053,1.48663,0.96663,1.72159,0.03876,0.34615,0.05558,0.02291,2.01246,3.27688,3.54492,0.00103987,0.00103987,0.00103987
21,40.7465,1.52181,1.02946,1.73401,0.31435,0.45613,0.42029,0.16898,1.96179,2.6855,3.55778,0.00100687,0.00100687,0.00100687
22,42.4537,1.50191,0.9527,1.72126,0.99294,0.5,0.61357,0.23702,1.99116,2.09573,3.64473,0.000973861,0.000973861,0.000973861
23,44.1582,1.48915,0.92425,1.69101,0.96799,0.57692,0.68788,0.29272,1.98509,1.80674,3.2441,0.000940855,0.000940855,0.000940855
24,45.9664,1.38854,0.92049,1.66771,0.93786,0.53784,0.66344,0.32287,1.79461,1.75109,2.86963,0.000907848,0.000907848,0.000907848
25,47.6638,1.24923,0.82169,1.61584,0.76736,0.62913,0.69,0.33749,1.73634,1.78726,2.64178,0.000874842,0.000874842,0.000874842
26,49.3654,1.35968,0.84633,1.59142,0.89867,0.71056,0.83079,0.37798,1.73404,1.68526,2.5553,0.000841835,0.000841835,0.000841835
27,51.1534,1.38036,0.84919,1.69751,0.96148,0.86218,0.90213,0.41945,1.74336,1.47875,2.55839,0.000808828,0.000808828,0.000808828
28,52.8027,1.50441,0.85358,1.72331,0.9693,0.94143,0.995,0.54888,1.50842,1.42172,2.3064,0.000775822,0.000775822,0.000775822
29,54.4153,1.32379,0.76984,1.6374,0.96901,0.85731,0.995,0.56845,1.49454,1.39754,2.24083,0.000742815,0.000742815,0.000742815
30,56.1222,1.43619,0.85683,1.6812,0.96852,0.98327,0.995,0.53393,1.61372,1.15652,2.42336,0.000709809,0.000709809,0.000709809
31,57.7235,1.41201,0.82592,1.60817,0.96957,0.96769,0.995,0.5002,1.67234,1.09267,2.46908,0.000676802,0.000676802,0.000676802
32,59.3596,1.40427,0.77464,1.63035,0.96497,0.81717,0.9822,0.50977,1.66799,0.88258,2.39589,0.000643795,0.000643795,0.000643795
33,60.9611,1.32998,0.74905,1.6159,0.92884,0.96154,0.98726,0.5232,1.61673,0.81574,2.28763,0.000610789,0.000610789,0.000610789
34,62.6034,1.31757,0.71057,1.58901,0.91803,0.9865,0.98149,0.55857,1.50287,0.78732,2.13886,0.000577782,0.000577782,0.000577782
35,64.2198,1.37068,0.73467,1.64741,0.91818,1,0.98679,0.55962,1.55774,0.6977,2.20161,0.000544776,0.000544776,0.000544776
36,65.8591,1.40005,0.75812,1.62286,0.9773,0.96154,0.99033,0.54641,1.52332,0.65789,2.24522,0.000511769,0.000511769,0.000511769
37,67.5813,1.29529,0.71489,1.54005,0.94444,1,0.98964,0.56045,1.49692,0.68003,2.21284,0.000478762,0.000478762,0.000478762
38,69.2983,1.22139,0.72611,1.56566,0.97882,1,0.995,0.57395,1.52267,0.66805,2.14786,0.000445756,0.000445756,0.000445756
39,71.0368,1.32791,0.76022,1.63122,0.97915,1,0.995,0.5828,1.53612,0.65706,2.13121,0.000412749,0.000412749,0.000412749
40,72.8416,1.34628,0.79284,1.60921,0.97626,1,0.995,0.58185,1.53,0.64302,2.10963,0.000379743,0.000379743,0.000379743
41,97.5001,1.26541,0.66878,1.70084,0.97605,1,0.995,0.58045,1.53382,0.6576,2.10252,0.000346736,0.000346736,0.000346736
42,99.1778,1.30662,0.66102,1.73512,0.981,0.95477,0.99033,0.56019,1.53493,0.64871,2.13938,0.000313729,0.000313729,0.000313729
43,100.79,1.23182,0.63093,1.66907,0.98147,0.9554,0.9925,0.57931,1.58692,0.63727,2.18816,0.000280723,0.000280723,0.000280723
44,102.488,1.24675,0.62783,1.72074,0.97185,0.98781,0.995,0.56118,1.59856,0.64794,2.22914,0.000247716,0.000247716,0.000247716
45,104.129,1.22831,0.61019,1.72867,0.93018,0.96154,0.96275,0.5563,1.59353,0.62579,2.22598,0.00021471,0.00021471,0.00021471
46,105.992,1.20175,0.58866,1.66803,0.9776,1,0.995,0.53652,1.58248,0.60067,2.21702,0.000181703,0.000181703,0.000181703
47,107.636,1.13122,0.56071,1.6765,0.98102,1,0.995,0.53321,1.56699,0.59427,2.19755,0.000148696,0.000148696,0.000148696
48,109.316,1.15014,0.56077,1.63381,0.98381,1,0.995,0.56535,1.55373,0.59662,2.16012,0.00011569,0.00011569,0.00011569
49,110.975,1.20762,0.55673,1.62062,0.9842,1,0.995,0.5712,1.54951,0.5966,2.15915,8.26832e-05,8.26832e-05,8.26832e-05
50,112.667,1.14733,0.55257,1.57474,0.98452,1,0.995,0.57544,1.54973,0.60359,2.15707,4.96766e-05,4.96766e-05,4.96766e-05
